"일자","요일","시간대","업종","총_건수"
"20130906","금","03","음식점-족발/보쌈전문","25"
"20130906","금","03","치킨","42"
"20130906","금","03","음식점-중국음식","144"
"20130906","금","04","피자전문","11"
"20130906","금","04","음식점-족발/보쌈전문","17"
"20130906","금","04","치킨","22"
"20130906","금","04","음식점-중국음식","109"
"20130906","금","05","음식점-족발/보쌈전문","5"
"20130906","금","05","피자전문","5"
"20130906","금","05","치킨","13"
"20130906","금","05","음식점-중국음식","75"
"20130906","금","06","피자전문","5"
"20130906","금","06","치킨","6"
"20130906","금","06","음식점-족발/보쌈전문","13"
"20130906","금","06","음식점-중국음식","82"
"20130906","금","07","피자전문","5"
"20130906","금","07","음식점-족발/보쌈전문","7"
"20130906","금","07","치킨","7"
"20130906","금","07","음식점-중국음식","81"
"20130906","금","08","치킨","5"
"20130906","금","08","피자전문","8"
"20130906","금","08","음식점-족발/보쌈전문","9"
"20130906","금","08","음식점-중국음식","141"
"20130906","금","09","음식점-족발/보쌈전문","11"
"20130906","금","09","치킨","16"
"20130906","금","09","피자전문","19"
"20130906","금","09","음식점-중국음식","289"
"20130906","금","10","음식점-족발/보쌈전문","28"
"20130906","금","10","치킨","35"
"20130906","금","10","피자전문","77"
"20130906","금","10","음식점-중국음식","748"
"20130906","금","11","음식점-족발/보쌈전문","68"
"20130906","금","11","치킨","120"
"20130906","금","11","피자전문","239"
"20130906","금","11","음식점-중국음식","2479"
"20130906","금","12","음식점-족발/보쌈전문","95"
"20130906","금","12","치킨","297"
"20130906","금","12","피자전문","303"
"20130906","금","12","음식점-중국음식","3542"
"20130906","금","13","음식점-족발/보쌈전문","84"
"20130906","금","13","피자전문","289"
"20130906","금","13","치킨","322"
"20130906","금","13","음식점-중국음식","2643"
"20130906","금","14","음식점-족발/보쌈전문","78"
"20130906","금","14","피자전문","278"
"20130906","금","14","치킨","354"
"20130906","금","14","음식점-중국음식","1702"
"20130906","금","15","음식점-족발/보쌈전문","78"
"20130906","금","15","피자전문","360"
"20130906","금","15","치킨","550"
"20130906","금","15","음식점-중국음식","1465"
"20130906","금","16","음식점-족발/보쌈전문","132"
"20130906","금","16","피자전문","483"
"20130906","금","16","치킨","950"
"20130906","금","16","음식점-중국음식","1504"
"20130906","금","17","음식점-족발/보쌈전문","188"
"20130906","금","17","피자전문","583"
"20130906","금","17","치킨","1459"
"20130906","금","17","음식점-중국음식","1921"
"20130906","금","18","음식점-족발/보쌈전문","394"
"20130906","금","18","피자전문","917"
"20130906","금","18","음식점-중국음식","2733"
"20130906","금","18","치킨","2890"
"20130906","금","19","음식점-족발/보쌈전문","576"
"20130906","금","19","피자전문","1020"
"20130906","금","19","음식점-중국음식","2922"
"20130906","금","19","치킨","4792"
"20130906","금","20","음식점-족발/보쌈전문","454"
"20130906","금","20","피자전문","839"
"20130906","금","20","음식점-중국음식","1756"
"20130906","금","20","치킨","4420"
"20130906","금","21","음식점-족발/보쌈전문","337"
"20130906","금","21","음식점-중국음식","665"
"20130906","금","21","피자전문","694"
"20130906","금","21","치킨","4099"
"20130906","금","22","음식점-족발/보쌈전문","308"
"20130906","금","22","음식점-중국음식","378"
"20130906","금","22","피자전문","584"
"20130906","금","22","치킨","4080"
"20130906","금","23","음식점-족발/보쌈전문","183"
"20130906","금","23","피자전문","190"
"20130906","금","23","음식점-중국음식","284"
"20130906","금","23","치킨","2932"
"20130907","토","00","피자전문","55"
"20130907","토","00","음식점-족발/보쌈전문","107"
"20130907","토","00","음식점-중국음식","290"
"20130907","토","00","치킨","1214"
"20130907","토","01","피자전문","40"
"20130907","토","01","음식점-족발/보쌈전문","66"
"20130907","토","01","음식점-중국음식","199"
"20130907","토","01","치킨","378"
"20130907","토","02","피자전문","30"
"20130907","토","02","음식점-족발/보쌈전문","38"
"20130907","토","02","치킨","140"
"20130907","토","02","음식점-중국음식","198"
"20130907","토","03","피자전문","21"
"20130907","토","03","음식점-족발/보쌈전문","35"
"20130907","토","03","치킨","63"
"20130907","토","03","음식점-중국음식","185"
"20130907","토","04","피자전문","11"
"20130907","토","04","음식점-족발/보쌈전문","16"
"20130907","토","04","치킨","33"
"20130907","토","04","음식점-중국음식","143"
"20130907","토","05","피자전문","7"
"20130907","토","05","음식점-족발/보쌈전문","9"
"20130907","토","05","치킨","19"
"20130907","토","05","음식점-중국음식","115"
"20130907","토","06","치킨","7"
"20130907","토","06","음식점-족발/보쌈전문","8"
"20130907","토","06","피자전문","8"
"20130907","토","06","음식점-중국음식","108"
"20130907","토","07","피자전문","6"
"20130907","토","07","치킨","7"
"20130907","토","07","음식점-족발/보쌈전문","8"
"20130907","토","07","음식점-중국음식","105"
"20130907","토","08","치킨","5"
"20130907","토","08","음식점-족발/보쌈전문","11"
"20130907","토","08","피자전문","14"
"20130907","토","08","음식점-중국음식","163"
"20130907","토","09","피자전문","17"
"20130907","토","09","치킨","18"
"20130907","토","09","음식점-족발/보쌈전문","23"
"20130907","토","09","음식점-중국음식","358"
"20130907","토","10","음식점-족발/보쌈전문","44"
"20130907","토","10","치킨","51"
"20130907","토","10","피자전문","161"
"20130907","토","10","음식점-중국음식","1116"
"20130907","토","11","음식점-족발/보쌈전문","71"
"20130907","토","11","치킨","263"
"20130907","토","11","피자전문","496"
"20130907","토","11","음식점-중국음식","3484"
"20130907","토","12","음식점-족발/보쌈전문","122"
"20130907","토","12","치킨","682"
"20130907","토","12","피자전문","753"
"20130907","토","12","음식점-중국음식","5345"
"20130907","토","13","음식점-족발/보쌈전문","118"
"20130907","토","13","피자전문","756"
"20130907","토","13","치킨","804"
"20130907","토","13","음식점-중국음식","4717"
"20130907","토","14","음식점-족발/보쌈전문","113"
"20130907","토","14","피자전문","681"
"20130907","토","14","치킨","926"
"20130907","토","14","음식점-중국음식","3277"
"20130907","토","15","음식점-족발/보쌈전문","111"
"20130907","토","15","피자전문","635"
"20130907","토","15","치킨","1113"
"20130907","토","15","음식점-중국음식","2411"
"20130907","토","16","음식점-족발/보쌈전문","167"
"20130907","토","16","피자전문","658"
"20130907","토","16","치킨","1506"
"20130907","토","16","음식점-중국음식","1874"
"20130907","토","17","음식점-족발/보쌈전문","308"
"20130907","토","17","피자전문","898"
"20130907","토","17","음식점-중국음식","2322"
"20130907","토","17","치킨","2431"
"20130907","토","18","음식점-족발/보쌈전문","536"
"20130907","토","18","피자전문","1201"
"20130907","토","18","음식점-중국음식","3402"
"20130907","토","18","치킨","3938"
"20130907","토","19","음식점-족발/보쌈전문","565"
"20130907","토","19","피자전문","1133"
"20130907","토","19","음식점-중국음식","3030"
"20130907","토","19","치킨","4477"
"20130907","토","20","음식점-족발/보쌈전문","408"
"20130907","토","20","피자전문","840"
"20130907","토","20","음식점-중국음식","1745"
"20130907","토","20","치킨","4403"
"20130907","토","21","음식점-족발/보쌈전문","369"
"20130907","토","21","음식점-중국음식","687"
"20130907","토","21","피자전문","779"
"20130907","토","21","치킨","4148"
"20130907","토","22","음식점-족발/보쌈전문","268"
"20130907","토","22","음식점-중국음식","314"
"20130907","토","22","피자전문","532"
"20130907","토","22","치킨","3751"
"20130907","토","23","음식점-족발/보쌈전문","202"
"20130907","토","23","피자전문","205"
"20130907","토","23","음식점-중국음식","338"
"20130907","토","23","치킨","2695"
"20130908","일","00","피자전문","63"
"20130908","일","00","음식점-족발/보쌈전문","123"
"20130908","일","00","음식점-중국음식","230"
"20130908","일","00","치킨","1165"
"20130908","일","01","피자전문","34"
"20130908","일","01","음식점-족발/보쌈전문","63"
"20130908","일","01","음식점-중국음식","210"
"20130908","일","01","치킨","388"
"20130908","일","02","피자전문","19"
