"date"	"weekday"	"time"	"type"	"freq"
2013-08-05	"월"	"04"	"치킨"	33
2013-08-05	"월"	"08"	"치킨"	10
2013-08-05	"월"	"09"	"치킨"	13
2013-08-05	"월"	"10"	"치킨"	42
2013-08-05	"월"	"11"	"치킨"	159
2013-08-05	"월"	"12"	"치킨"	353
2013-08-05	"월"	"13"	"치킨"	444
2013-08-05	"월"	"14"	"치킨"	482
2013-08-05	"월"	"15"	"치킨"	572
2013-08-05	"월"	"16"	"치킨"	748
2013-08-05	"월"	"17"	"치킨"	1277
2013-08-05	"월"	"18"	"치킨"	2041
2013-08-05	"월"	"19"	"치킨"	2691
2013-08-05	"월"	"20"	"치킨"	2723
2013-08-05	"월"	"21"	"치킨"	2758
2013-08-05	"월"	"22"	"치킨"	2461
2013-08-05	"월"	"23"	"치킨"	1740
2013-08-05	"월"	"00"	"피자전문"	48
2013-08-05	"월"	"01"	"피자전문"	27
2013-08-05	"월"	"02"	"피자전문"	20
2013-08-05	"월"	"03"	"피자전문"	16
2013-08-05	"월"	"04"	"피자전문"	7
2013-08-05	"월"	"09"	"피자전문"	28
2013-08-05	"월"	"10"	"피자전문"	79
2013-08-05	"월"	"11"	"피자전문"	306
2013-08-05	"월"	"12"	"피자전문"	416
2013-08-05	"월"	"13"	"피자전문"	398
2013-08-05	"월"	"14"	"피자전문"	379
2013-08-05	"월"	"15"	"피자전문"	347
2013-08-05	"월"	"16"	"피자전문"	406
2013-08-05	"월"	"17"	"피자전문"	525
2013-08-05	"월"	"18"	"피자전문"	694
2013-08-05	"월"	"19"	"피자전문"	813
2013-08-05	"월"	"20"	"피자전문"	671
2013-08-05	"월"	"21"	"피자전문"	602
2013-08-05	"월"	"22"	"피자전문"	394
2013-08-05	"월"	"23"	"피자전문"	142
2013-08-06	"화"	"00"	"족발/보쌈전문"	99
2013-08-06	"화"	"01"	"족발/보쌈전문"	47
2013-08-06	"화"	"02"	"족발/보쌈전문"	36
2013-08-06	"화"	"03"	"족발/보쌈전문"	12
2013-08-06	"화"	"04"	"족발/보쌈전문"	7
2013-08-06	"화"	"06"	"족발/보쌈전문"	7
2013-08-06	"화"	"07"	"족발/보쌈전문"	6
2013-08-06	"화"	"08"	"족발/보쌈전문"	7
2013-08-06	"화"	"09"	"족발/보쌈전문"	15
2013-08-06	"화"	"10"	"족발/보쌈전문"	28
2013-08-06	"화"	"11"	"족발/보쌈전문"	67
2013-08-06	"화"	"12"	"족발/보쌈전문"	95
2013-08-06	"화"	"13"	"족발/보쌈전문"	107
2013-08-06	"화"	"14"	"족발/보쌈전문"	84
2013-08-06	"화"	"15"	"족발/보쌈전문"	62
2013-08-06	"화"	"16"	"족발/보쌈전문"	81
2013-08-06	"화"	"17"	"족발/보쌈전문"	207
2013-08-06	"화"	"18"	"족발/보쌈전문"	363
2013-08-06	"화"	"19"	"족발/보쌈전문"	430
2013-08-06	"화"	"20"	"족발/보쌈전문"	338
2013-08-06	"화"	"21"	"족발/보쌈전문"	255
2013-08-06	"화"	"22"	"족발/보쌈전문"	242
2013-08-06	"화"	"23"	"족발/보쌈전문"	126
2013-08-06	"화"	"00"	"중국음식"	243
2013-08-06	"화"	"01"	"중국음식"	208
2013-08-06	"화"	"02"	"중국음식"	212
2013-08-06	"화"	"03"	"중국음식"	197
2013-08-06	"화"	"04"	"중국음식"	124
2013-08-06	"화"	"05"	"중국음식"	114
2013-08-06	"화"	"06"	"중국음식"	82
2013-08-06	"화"	"07"	"중국음식"	87
2013-08-06	"화"	"08"	"중국음식"	152
2013-08-06	"화"	"09"	"중국음식"	252
2013-08-06	"화"	"10"	"중국음식"	708
2013-08-06	"화"	"11"	"중국음식"	2660
2013-08-06	"화"	"12"	"중국음식"	4590
2013-08-06	"화"	"13"	"중국음식"	4113
2013-08-06	"화"	"14"	"중국음식"	2701
2013-08-06	"화"	"15"	"중국음식"	1649
2013-08-06	"화"	"16"	"중국음식"	1457
2013-08-06	"화"	"17"	"중국음식"	1707
2013-08-06	"화"	"18"	"중국음식"	2428
2013-08-06	"화"	"19"	"중국음식"	2834
2013-08-06	"화"	"20"	"중국음식"	1753
2013-08-06	"화"	"21"	"중국음식"	634
2013-08-06	"화"	"22"	"중국음식"	313
2013-08-06	"화"	"23"	"중국음식"	283
2013-08-06	"화"	"00"	"치킨"	737
2013-08-06	"화"	"01"	"치킨"	290
2013-08-06	"화"	"02"	"치킨"	95
2013-08-06	"화"	"03"	"치킨"	41
2013-08-06	"화"	"04"	"치킨"	14
2013-08-06	"화"	"05"	"치킨"	10
2013-08-06	"화"	"08"	"치킨"	11
2013-08-06	"화"	"09"	"치킨"	14
2013-08-06	"화"	"10"	"치킨"	39
2013-08-06	"화"	"11"	"치킨"	193
2013-08-06	"화"	"12"	"치킨"	430
2013-08-06	"화"	"13"	"치킨"	583
2013-08-06	"화"	"14"	"치킨"	662
2013-08-06	"화"	"15"	"치킨"	700
2013-08-06	"화"	"16"	"치킨"	792
2013-08-06	"화"	"17"	"치킨"	1206
2013-08-06	"화"	"18"	"치킨"	2285
2013-08-06	"화"	"19"	"치킨"	3042
2013-08-06	"화"	"20"	"치킨"	2774
2013-08-06	"화"	"21"	"치킨"	2817
2013-08-06	"화"	"22"	"치킨"	2714
2013-08-06	"화"	"23"	"치킨"	1804
2013-08-06	"화"	"00"	"피자전문"	67
2013-08-06	"화"	"01"	"피자전문"	25
2013-08-06	"화"	"02"	"피자전문"	13
2013-08-06	"화"	"03"	"피자전문"	12
2013-08-06	"화"	"05"	"피자전문"	9
2013-08-06	"화"	"06"	"피자전문"	10
2013-08-06	"화"	"08"	"피자전문"	6
2013-08-06	"화"	"09"	"피자전문"	20
2013-08-06	"화"	"10"	"피자전문"	89
2013-08-06	"화"	"11"	"피자전문"	328
2013-08-06	"화"	"12"	"피자전문"	523
2013-08-06	"화"	"13"	"피자전문"	512
2013-08-06	"화"	"14"	"피자전문"	468
2013-08-06	"화"	"15"	"피자전문"	419
2013-08-06	"화"	"16"	"피자전문"	433
2013-08-06	"화"	"17"	"피자전문"	574
2013-08-06	"화"	"18"	"피자전문"	739
2013-08-06	"화"	"19"	"피자전문"	853
2013-08-06	"화"	"20"	"피자전문"	683
2013-08-06	"화"	"21"	"피자전문"	611
2013-08-06	"화"	"22"	"피자전문"	470
